Legislation Name,Jurisdiction,Legislation Type,Act Name,Heading,Section Number,Paragraphs,Specificity,Management Domain,IUCN_L1,IUCN_L2,Clause Type
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Authority to Deposit in Tailings Impoundment Areas,5,"5 (1) Despite section 4, the owner or operator of a mine may deposit or permit the deposit of waste rock, acutely lethal effluent or effluent of any pH and containing any concentration of a deleterious substance that is prescribed in section 3 into a tailings impoundment area that is either (a) a water or place set out in Schedule 2; or (b) a disposal area that is confined by anthropogenic or natural structures or by both, other than a disposal area that is, or is part of, a natural water body that is frequented by fish. (2) The authority in subsection (1) is conditional on the owner or operator complying with sections 7 to 28. (3) For the purposes of this section, any acutely lethal effluent is prescribed as a deleterious substance.",2,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Authorization & Mandate
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Prohibition on Diluting Effluent,6,6 The owner or operator of a mine shall not combine effluent with water or any other effluent for the purpose of diluting effluent before it is deposited.,3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Final Discharge Points,9,"9 The owner or operator of a mine shall identify each final discharge point and submit in writing to the Minister of the Environment, not later than 60 days after the day on which the mine becomes subject to these Regulations, the following information: (a) plans, specifications and a general description of each final discharge point together with its location by latitude and longitude; (b) a description of how each final discharge point is designed and maintained in respect of the deposit of deleterious substances; and (c) the name of the receiving body of water, if there is a name. 10 (1) The owner or operator of a mine shall submit in writing to the Minister of the Environment the information required by section 9, for (a) any final discharge point that is identified by an inspector, and that was not identified as required by section 9, within 30 days after the discharge point is identified; and (b) each new final discharge point, at least 60 days before depositing effluent from that new final discharge point. (2) The owner or operator shall submit in writing to the Minister of the Environment the information on any proposed change to a final discharge point at least 60 days before the change is to be made.",3,,,,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Deleterious Substance and pH Testing,12,"12 (1) The owner or operator of a mine shall, not less than once per week and at least 24 hours apart, collect from each final discharge point (a) a grab sample or composite sample of effluent and record the pH of the sample at the time of its collection and record, without delay after collecting the sample, the concentrations of the deleterious substances prescribed in section 3 except un-ionized ammonia; and (b) a grab sample of effluent and record the temperature and the pH of the sample at the time of its collection and record, without delay after collecting the sample, the concentrations of total ammonia expressed as nitrogen (N). (2) Testing conducted under subsection (1) shall comply with the analytical requirements set out in Table 1 of Schedule 3 and shall be done in accordance with generally accepted standards of good scientific practice at the time of the sampling using documented and validated methods. (3) Despite subsection (1), the owner or operator of a mine is not required to collect samples for the purpose of recording the concentrations of cyanide if cyanide has never been used as a process reagent at the mine. (4) The owner or operator of a mine shall determine and record the concentration of un-ionized ammonia, using the temperature, pH and concentration of total ammonia recorded under paragraph (1)(b), in accordance with the following formula: A (1/(1 + 10pKa-pH)) where 0.09018 + 2729.92/T where 13 (1) The owner or operator of a mine may reduce the frequency of conducting tests relating to the concentrations of arsenic, copper, cyanide, lead, nickel, zinc or un-ionized ammonia at a final discharge point to not less than once in each calendar quarter, each test being conducted at least one month apart, if that substance's monthly mean concentration at that final discharge point is less than 10% of the value set out in column 2 of Schedule 4 for 12 consecutive months. (2) The owner or operator of a mine, other than an uranium mine, may reduce the frequency of conducting tests relating to the concentration of radium 226 at a final discharge point to not less than once in each calendar quarter, each test being conducted at least one month apart, if the concentration of radium 226 at that final discharge point is less than 0.037 Bq/L for 10 consecutive weeks. (3) The owner or operator of a mine shall increase the frequency of conducting tests relating to the concentration of a deleterious substance at a final discharge point to the frequency prescribed in section 12 (a) in the case of a deleterious substance mentioned in subsection (1), if that substance's monthly mean concentration at that final discharge point is equal to or greater than 10% of the value set out in column 2 of Schedule 4; and (b) in the case of radium 226, if the concentration of radium 226 at that final discharge point is equal to or greater than 0.037 Bq/L. (4) The owner or operator of a mine shall increase the frequency of conducting tests relating to the concentration of a deleterious substance at all final discharge points to the frequency prescribed in section 12 for all the substances mentioned in subsections (1) and (2) if the owner or operator (a) fails to perform a test required under those subsections in accordance with the prescribed frequency; or (b) fails to submit a report required under subsection 21(1) or section 22 within the prescribed time. (5) If the owner or operator of a mine changes the location of a final discharge point, the owner or operator shall increase the frequency of conducting tests relating to the concentration of a deleterious substance at that final discharge point to the frequency prescribed in section 12 for all the deleterious substances mentioned in subsections (1) and (2). (6) The owner or operator of a mine who reduces the frequency of conducting tests under subsection (1) or (2) shall (a) notify the Minister of the Environment, in writing, at least 30 days in advance, of that fact; (b) select and record the sampling dates not less than 30 days in advance of collecting the samples of effluent; and (c) collect the sample on the selected day except if, owing to unforeseen circumstances, they cannot sample on that day, in which case, they shall do so as soon as practicable after that day.",3,Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,Designation
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Acute Lethality Testing,14,"14 (1) Subject to section 15, the owner or operator of a mine shall collect, once a month, a grab sample of effluent from each final discharge point and determine whether the effluent is acutely lethal by conducting acute lethality tests on aliquots of each effluent sample in accordance with sections 14.1 to 14.4. (2) For the purposes of subsection (1), the owner or operator of a mine (a) shall select and record the sampling date not less than 30 days in advance of collecting the grab sample; (b) shall collect the sample on the selected day except if, owing to unforeseen circumstances, they cannot sample on that day, in which case, they shall do so as soon as practicable after that day; and (c) shall collect the grab samples not less than 15 days apart. (3) When collecting a grab sample of effluent for the purposes of subsection (1), the owner or operator of a mine shall (a) collect a sufficient volume of effluent to enable the owner or operator to comply with paragraph 15(1)(a); and (b) record the temperature and the pH of each grab sample of effluent at the time of the sample's collection. 14.1 Unless the salinity value of the effluent is greater than ten parts per thousand and the effluent is deposited into marine waters, the owner or operator of a mine shall determine whether the effluent is acutely lethal by conducting an acute lethality test in accordance with the procedures set out in section 5 or 6 of Reference Method EPS 1/RM/13. 14.2 If the salinity value of the effluent is greater than ten parts per thousand and the effluent is deposited into marine waters, the owner or operator of a mine shall determine whether the effluent is acutely lethal by conducting an acute lethality test in accordance with the procedures set out in section 5 or 6 of Reference Method EPS 1/RM/10. 14.3 Unless the salinity value of the effluent is greater than four parts per thousand and the effluent is deposited into marine waters, the owner or operator of a mine shall, in addition to conducting the acute lethality test set out in section 14.1, determine whether the effluent is acutely lethal by conducting an acute lethality test in accordance with the procedures set out in section 5 or 6 of Reference Method EPS 1/RM/14. 14.4 If the salinity value of the effluent is greater than four parts per thousand and the effluent is deposited into marine waters, the owner or operator of a mine shall, in addition to conducting the acute lethality test set out in either section 14.1 or 14.2, determine whether the effluent is acutely lethal by conducting an acute lethality test in accordance with the procedures set out in section 5 or 6 of Reference Method STB 1/RM/60.",3,Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Increased Frequency of Acute Lethality Testing,15,"15 (1) If an effluent sample is determined to be acutely lethal by an acute lethality test, the owner or operator of a mine shall (a) without delay, (i) conduct the effluent characterization set out in subsection 4(1) of Schedule 5 on the aliquot of each grab sample collected under subsection 14(1), (ii) record the concentration of total ammonia and, using that concentration and using the temperature and pH recorded under paragraph 14(3)(b), determine the concentration of un-ionized ammonia in accordance with the formula set out in subsection 12(4), and (iii) record the concentrations of the deleterious substances prescribed in section 3; (b) collect a grab sample twice a month from the final discharge point from which the effluent sample determined to be acutely lethal was collected, record the temperature and the pH of each sample at the time of its collection and, without delay, conduct the acute lethality test that determined the effluent sample to be acutely lethal on each grab sample in accordance with the procedure set out in section 6 of the applicable reference method and, if the sample is determined to be acutely lethal, without delay, (i) conduct the effluent characterization set out in subsection 4(1) of Schedule 5 on the aliquot of each grab sample, (ii) record the concentration of total ammonia and, using that concentration and using the temperature and pH recorded under this paragraph, determine the concentration of un-ionized ammonia in accordance with the formula set out in subsection 12(4), and (iii) record the concentrations of the deleterious substances prescribed in section 3; and (c) collect the grab samples not less than seven days apart. (2) The owner or operator may resume sampling and testing at the frequency prescribed in section 14 if the effluent is determined not to be acutely lethal in three consecutive tests conducted under paragraph (1)(b). 15.1 Despite paragraph 15(1)(c), if an effluent sample is determined to be acutely lethal when tested using the acute lethality test set out in section 14.3, the owner or operator of a mine shall, without delay, collect the first grab sample required by paragraph 15(1)(b) and comply with the requirements of that paragraph.",3,Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,"Records, Books of Account or Other Documents",27,"27 The owner or operator of a mine shall keep all records, books of account or other documents required by these Regulations at the mine for a period of not less than five years, beginning on the day on which they are made, including (a) records relating to all final discharge points, including any changes to those records; (b) records relating to effluent monitoring equipment, including the calibration of that equipment; (c) records relating to the data referred to in section 9.1 of Reference Method EPS 1/RM/10, section 8.1 of Reference Method EPS 1/RM/13, section 8.1 of Reference Method EPS 1/RM/14 and section 9.1 of Reference Method STB 1/RM/60; (d) compensation plans; (e) emergency response plans, including each update to the plan; (f) reports on any unauthorized deposits; (g) reports or other documents prepared and data collected for the purposes of environmental effects monitoring studies; and (h) records and reports of measurements with respect to the pH, temperature and concentration of any deleterious substance prescribed in section 3.",3,Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Compensation Plan,27.1,"27.1 (1) The owner or operator of a mine shall, before depositing a deleterious substance into a tailings impoundment area that is set out in Schedule 2, submit to the Minister of the Environment a compensation plan that includes the information described in subsection (2) and obtain that Minister's approval of the plan. (2) The purpose of the compensation plan is to offset the loss of fish habitat resulting from the deposit of any deleterious substance into the tailings impoundment area. It shall contain the following information: (a) a description of the location of the tailings impoundment area and of fish habitat that will be affected by the deposit; (b) a quantitative impact assessment of the deposit on fish habitat; (c) a description of the measures to be taken to offset the loss of fish habitat; (d) a description of the measures to be taken during the planning and implementation of the compensation plan to mitigate any potential adverse effects on fish habitat that could result from the plan's implementation; (e) a description of the measures to be taken to monitor the plan's implementation; (f) a description of the measures to be taken to verify the extent to which the plan's purpose has been achieved; (g) the time required to implement the plan that allows for the achievement of the plan's purpose within a reasonable time; and (h) an estimate of the cost of implementing each element of the plan. (3) The owner or operator of a mine shall submit with the compensation plan an irrevocable letter of credit issued by a recognized Canadian financial institution, or another equivalent financial guarantee, including a performance bond, to cover the costs of implementing the plan. (4) The Minister of the Environment shall approve the compensation plan if it meets the requirements of subsection (2) and the owner or operator of a mine has complied with subsection (3). (5) The owner or operator of a mine shall ensure that the compensation plan approved by the Minister of the Environment is implemented and, if the compensation plan's purpose is not being achieved, the owner or operator shall inform the Minister of the Environment. (6) If the compensation plan's purpose is not being achieved, the owner or operator of a mine shall, as soon as practicable in the circumstances, identify and implement all necessary remedial measures to ensure that the purpose is achieved.",2,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Designation
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Deposits from Tailings Impoundment Areas,28,28 (1) The owner or operator of a mine shall deposit effluent from a tailings impoundment area only through a final discharge point that is monitored and reported on in accordance with the requirements of these Regulations. (2) The owner or operator of a mine shall comply with section 6 and the conditions prescribed in paragraphs 4(1)(a) to (c) for all effluent that exits a tailing impoundment area.,3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Emergency Response Plan,30,"30 (1) The owner or operator of a mine shall prepare an emergency response plan that describes the measures to be taken in respect of a deleterious substance within the meaning of subsection 34(1) of the Act to prevent any unauthorized deposit of such a substance or to mitigate the effects of such a deposit. (2) The emergency response plan shall include the following elements: (a) the identification of any unauthorized deposit that can reasonably be expected to occur at the mine and that can reasonably be expected to result in damage or danger to fish habitat or fish or the use by man of fish, and the identification of the damage or danger; (b) a description of the measures to be used to prevent, prepare for, respond to and recover from a deposit identified under paragraph (a); (c) a list of the individuals who are to implement the plan in the event of an unauthorized deposit, and a description of their roles and responsibilities; (d) the identification of the emergency response training required for each of the individuals listed under paragraph (c); (e) a list of the emergency response equipment included as part of the plan, and the equipment's location; and (f) alerting and notification procedures including the measures to be taken to notify members of the public who may be adversely affected by a deposit identified under paragraph (a). (3) The owner or operator shall complete the emergency response plan and have it available for inspection no later than 60 days after the mine becomes subject to this section. (4) The owner or operator shall update and test the emergency response plan at least once each year to ensure that the plan continues to meet the requirements of subsection (2). (4.1) The owner or operator of a mine shall, each time the emergency response plan is tested, record the following information and keep the record for at least five years: (a) a summary of the test; (b) the test results; and (c) any modifications that are made to the plan as a consequence of the test. (4.2) The owner or operator of a mine shall ensure that a copy of the most recent version of the emergency response plan is kept at the mine in a location that is readily available to the individuals who are responsible for implementing the plan. (5) If a mine has not been subject to the requirements of this section for more than one year, a new emergency response plan shall be prepared and completed no later than 60 days after the day on which the mine again becomes subject to this section.",2,Species Status and Assessment,,,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Reporting,31,"31 A report required by subsection 38(7) of the Act in respect of the unauthorized deposit of a deleterious substance shall contain the following information: (a) the name, description and concentration of the deleterious substance deposited; (b) the estimated quantity of the deposit and how the estimate was achieved; (c) the day on which, and hour at which, the deposit occurred; (d) the quantity of the deleterious substance that was deposited at a place other than through a final discharge point and the identification of that place, including the location by latitude and longitude and, if applicable, the civic address; (e) the quantity of the deleterious substance that was deposited through a final discharge point and the identification of that discharge point; (f) the name of the receiving body of water, if there is a name, and the location by latitude and longitude where the deleterious substance entered the receiving body of water; (g) the results of the acute lethality tests conducted under subsection 31.1(1) or a statement indicating that acute lethality tests were not conducted but that notification was given under subsection 31.1(2); (h) the circumstances of the deposit, the measures that were taken to mitigate the effects of the deposit and, if the emergency response plan was implemented, details concerning its implementation; and (i) the measures that were taken, or that are intended to be taken, to prevent any similar occurrence of an unauthorized deposit.",3,,,,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,SCHEDULE 2(Subsections 5(1) and 27.1(1)),33,"(a) the contour of elevation around Anderson Lake at the 285-m level, and (b) the control dam built at the east end of Anderson Lake. (a) extending eastwards and upstream from the centre of a tailings dam constructed at 57?1' north latitude and 126?41' west longitude, and (b) below the crest of the dam at an elevation of 1515 m. (a) the contour of elevation around Albino Lake at the 1040-m level, and (b) the outlet of Albino Lake. (a) the contour of elevation around Tom MacKay Lake at the 1078-m level, and (b) the outlet of Tom MacKay Lake. (a) the contour of elevation around Trout Pond at the 270 m level, and (b) the outlet of Trout Pond. (a) the contour of elevation around the pond at the 260 m level, and (b) the outlet of the pond. (a) the contour of elevation around the arm at the 146 m level, and (b) the dam built at the southeast end of the arm. (a) the contour of elevation around Tail Lake at the 33.5 m level, and (b) the dams built at the south and north ends of the lake. (a) the southern limit, extending from 53? north latitude, 66?50'24? west longitude to 53? north latitude, 66?52'57? west longitude, and (b) the outlet of Wabush Lake, extending from 53?09'4.7? north latitude, 66?47'3.5? west longitude to 53?08'57.5? north latitude, 66?47'2.9? west longitude. (a) the contour of elevation around Sandy Pond at the 137 m level, and (b) the dams built at the north end of Sandy Pond. (a) the contour of elevation around Mallard Lake at the 490 m level, and (b) the dam built at the south end of Mallard Lake. (a) the contour of elevation around Lake Hesse at the 620 m level, (b) the dam built at the north end of Lake Hesse, and (c) the control dam built at the south end of Lake Hesse. (a) the contour of elevation around the lake at the 660 m level, and (b) the outlet of the lake extending from the mouth of an outlet stream at 52?49'33? north latitude and 67?22'18? west longitude for a distance of 30 m downstream from that mouth. (a) a 471 m portion of its unnamed tributary extending upstream from the point located at 50?15'18.37? north latitude and 66?33'24.01? west longitude to the point located at 50?15'20.27? north latitude and 66?33'13.51? west longitude and covering an area of 0.117 ha; and (b) a 76 m portion of its unnamed tributary extending upstream from the point located at 50?15'11.97? north latitude and 66?33'22.57? west longitude to the point located at 50?15'12.82? north latitude and 66?33'20.66? west longitude and covering an area of 0.033 ha. (a) the west portion of the creek extending for a distance of 253 m from the point located at 50?15'18.78? north latitude and 66?29'52.43? west longitude to the point located at 50?15'13.76? north latitude and 66?29'46.60? west longitude and covering 0.0585 ha; and (b) the east portion of the creek extending for a distance of 267 m from the point located at 50?15'19.58? north latitude and 66?29'45.99? west longitude to the point located at 50?15'14.18? north latitude and 66?29'45.19? west longitude and covering 0.0555 ha. (a) the dike located at 64?42'39.1'' north latitude and 110?40'27.5'' west longitude, and (b) the dike located at 64?41'31.1'' north latitude and 110?43'19.7'' west longitude. (a) the dike located at 64?41'31.1'' north latitude and 110?43'19.7'' west longitude, and (b) the outlet dam located at 64?40'57.4'' north latitude and 110?42'05.2'' west longitude.",2,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Designation
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Interpretation,33,"1 (1) The following definitions apply in this Schedule. biological monitoring study means a study referred to in section 9. (etude de suivi biologique) effect on fish tissue from mercury means a concentration of total mercury that exceeds 0.5 ?g/g wet weight in fish tissue that is taken in an exposure area and that is statistically different from and higher than the concentration of total mercury in fish tissue that is taken in a reference area. (effet du mercure sur les tissus de poissons) effect on the benthic invertebrate community means a statistical difference between data referred to in subparagraph 12(1)(e)(ii) and paragraph 12(1)(f) from a study respecting the benthic invertebrate community conducted in (a) an exposure area and a reference area; or (b) sampling areas within an exposure area where there are gradually decreasing effluent concentrations. (effet sur la communaute d'invertebres benthiques) effect on the fish population means a statistical difference between data relating to the indicators referred to in subparagraph 12(1)(e)(i) from a study respecting fish population conducted in (a) an exposure area and a reference area; or (b) sampling areas within an exposure area where there are gradually decreasing effluent concentrations. (effet sur la population de poissons) exposure area means all fish habitat and waters frequented by fish that are exposed to effluent. (zone exposee) fish has the same meaning as in section 2 of the Act but does not include parts of fish, parts of shellfish, parts of crustaceans or parts of marine animals. (poisson) reference area means water frequented by fish that is not exposed to effluent and that has fish habitat that, as far as practicable, is most similar to that of the exposure area. (zone de reference) sampling area means the area within an exposure or reference area where representative samples are collected. (zone d'echantillonnage) (2) For the purpose of this schedule, critical effect size, in relation to an effect indicator set out in column 1 of the following table, means the critical effect size set out in column 2: 2 Environmental effects monitoring studies consist of the effluent and water quality monitoring studies set out in Part 1 and the biological monitoring studies set out in Part 2.",2,Spatial Designation,,,Interpretation & Purpose
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Required Studies,33,"3 Effluent and water quality monitoring studies consist of effluent characterization, sublethal toxicity testing and water quality monitoring.",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Effluent Characterization,33,"4 (1) Effluent characterization is conducted by analyzing a sample of effluent and recording the hardness, alkalinity, electrical conductivity and temperature of the sample and the concentrations, in total values, of the following substances: (a) aluminum; (b) cadmium; (c) iron; (d) subject to subsection (4), mercury; (e) molybdenum; (f) selenium; (g) nitrate (concentration in units of nitrogen); (h) chloride; (i) chromium; (j) cobalt; (k) sulphate; (l) thallium; (m) uranium; (n) phosphorus (concentration in units of phosphorus); and (o) manganese. (2) The analysis shall comply with the analytical requirements set out in Table 2 of Schedule 3. (3) The effluent characterization shall be conducted once per calendar quarter on an aliquot of effluent sample collected under sections 12 and 13 of these Regulations from each final discharge point at least one month after the sample on which the previous characterization was conducted. (4) The recording of the concentration of mercury in effluent referred to in paragraph (1)(d) may be discontinued if that concentration is less than 0.10 ?g/L in 12 consecutive samples collected under subsection (3). (5) Quality assurance and quality control measures shall be implemented that will ensure the accuracy of the effluent characterization data.",3,Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Water Quality Monitoring,33,"7 (1) Water quality monitoring is conducted by (a) collecting samples of water from (i) the exposure area surrounding the point of entry of effluent into water from each final discharge point and from the related reference areas, and (ii) the sampling areas that are selected under clauses 10(b)(i)(B) and 10(c)(i)(A); (b) recording the temperature of the water and the dissolved oxygen concentration in the water in the exposure and reference areas where the samples are collected; (c) recording the concentration of the substances set out in paragraphs 4(1)(a) to (p) and, (i) in the case of effluent that is deposited into fresh water, recording the pH, hardness, alkalinity and electrical conductivity of the water samples, (ii) in the case of effluent that is deposited into estuarine waters, recording the pH, hardness, alkalinity, electrical conductivity and salinity of the water samples, and (iii) in the case of effluent that is deposited into marine waters, recording the salinity of the water samples; (d) recording the concentration of the deleterious substances prescribed in section 3 of these Regulations, but (i) not recording the concentrations of cyanide if that substance is not used as a process reagent within the operations area, and (ii) not recording the concentrations of radium 226 if the conditions of subsection 13(2) of these Regulations are met; and (e) implementing quality assurance and quality control measures that will ensure the accuracy of water quality monitoring data. (2) The water quality monitoring shall be conducted (a) four times per calendar year and at least one month apart on the samples of water collected, while the mine is depositing effluent, from the areas referred to in subparagraph (1)(a)(i); and (b) at the same time that the biological monitoring studies are conducted on samples of water collected in the areas referred to in subparagraph (1)(a)(ii).",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Designation
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Information Related to Effluent and Water Quality Monitoring Studies,33,"8 The following information in relation to the effluent and water quality monitoring studies conducted during a calendar year under sections 4 to 7 shall be submitted to the Minister of the Environment not later than March 31 of the following year: (a) the dates on which samples were collected for effluent characterization, sublethal toxicity testing and water quality monitoring; (b) for each sample collected for effluent characterization, the location of the final discharge point from which samples were collected for effluent characterization; (c) the location of the final discharge point from which samples were collected for sublethal toxicity testing and the data used in selecting the final discharge point in accordance with subsection 5(3); (d) the latitude and longitude of sampling areas for water quality monitoring and a description that is sufficient to identify the location of the sampling areas; (e) the results of effluent characterization, sublethal toxicity testing and water quality monitoring; (f) the methodologies used to conduct effluent characterization and water quality monitoring, and the related method detection limits; (g) a description of the quality assurance and quality control measures that were implemented and the data related to the implementation of those measures; and (h) with respect to every effluent sample collected at each final discharge point, the annual mean concentration of mercury and selenium.",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
Metal and Diamond Mining Effluent Regulations (SOR/2002-222),Federal,Regulations,FISHERIES ACT,Required Studies,33,"9 (1) Biological monitoring studies shall include (a) a study respecting fish population, if the highest concentration of effluent in the exposure area, during a period in which there are deposits, is greater than 1% at any location that is 250 m from a point at which the effluent enters the area from a final discharge point, unless the results of the previous two biological monitoring studies indicate (i) for all effect indicators with no assigned critical effect size, no effect on the fish population, and (ii) for all effect indicators with an assigned critical effect size, no effect on the fish population or an effect on the fish population the absolute value of the magnitude of which is less than the absolute value of its assigned critical effect size; (b) a study respecting the benthic invertebrate community, if the highest concentration of effluent in the exposure area, during a period in which there are deposits, is greater than 1% at any location that is 100 m from a point at which the effluent enters the area from a final discharge point, unless the results of the previous two biological monitoring studies indicate (i) for all effect indicators with no assigned critical effect size, no effect on the benthic invertebrate community, and (ii) for all effect indicators with an assigned critical effect size, no effect on the benthic invertebrate community or an effect on the benthic invertebrate community the absolute value of the magnitude of which is less than the absolute value of its assigned critical effect size; (c) a study respecting fish tissue mercury, if (i) effluent characterization reveals an annual mean concentration of total mercury in the effluent that is equal to or greater than 0.10 ?g/L, based on a calendar year, unless the results of the previous two biological monitoring studies indicate no effect on fish tissue from mercury, or (ii) the method detection limit used in respect of mercury for the analysis of at least two of four effluent samples in a calendar year is equal to or greater than 0.10 ?g/L; (d) a study respecting fish tissue selenium, if (i) effluent characterization reveals a concentration of total selenium in the effluent that is equal to or greater than 10 ?g/L, (ii) effluent characterization reveals an annual mean concentration of total selenium in the effluent that is equal to or greater than 5 ?g/L, based on a calendar year, or (iii) the method detection limit used in respect of selenium for the analysis of any effluent sample is equal to or greater than 10 ?g/L, or the method detection limit used in respect of selenium for the analysis of at least two of four effluent samples in a calendar year is equal to or greater than 5 ?g/L; and (e) if the cause of any effect on the fish population, on fish tissue from mercury or on the benthic invertebrate community is not known, a study that will be used to determine the cause of the effect if (i) the results of the previous two biological monitoring studies indicate a similar type of effect, and (ii) for an effect indicator with an assigned critical effect size, the absolute value of the magnitude of the effect is equal to or greater than the absolute value of its critical effect size in either of those studies. (2) If the results of the previous two biological monitoring studies are used to lift the requirement to conduct a study under any of paragraphs (1)(a), (b), (c) or (e), the earlier of those two studies shall not be used to lift a requirement to conduct a subsequent study. (3) For the purposes of subsection (1), the concentration of effluent shall be determined or the effluent characterization shall be carried out, as the case may be, (a) in the case of the first biological monitoring studies, beginning on the day on which the mine becomes subject to section 7 of these Regulations and ending on the day before the day on which the first study design is required to be submitted; and (b) for any subsequent biological monitoring studies, beginning on the day on which the previous study design was required to be submitted and ending on the day before the day on which the subsequent study design is required to be submitted.",2,Spatial Designation,,,Instruction
